KBP relation,Max values (9 means no limit),Relation terms,Arg2 begins,Entity in,SlotFill in,Slot type
per:alternate_names,9,known,as,arg1,arg2,ProperNoun
,,,,,,
per:cause_of_death,9,died,from,arg1,arg2,<any>
per:cause_of_death,9,died,as,arg1,arg2,result of X
per:cause_of_death,9,died,of,arg1,arg2,<any>
per:cause_of_death,9,died,due to,arg1,arg2,<any>
,,,,,,
per:city_of_death,1,died,in,arg1,arg2,City
per:country_of_death,1,died,in,arg1,arg2,Country
per:stateorprovince_of_death,1,died,in,arg1,arg2,Stateorprovince
,,,,,,
per:date_of_death,1,died,in,arg1,arg2,Date
per:date_of_death,1,died,on,arg1,arg2,Date
,,,,,,
per:other_family,9,cousin of,,arg1,arg2,Person 
per:other_family,9,cousin [of],,arg1,arg2,Person 
per:other_family,9,cousin of,,arg2,arg1,Person 
per:other_family,9,cousin [of],,arg2,arg1,Person 
per:other_family,9,uncle of,,arg1,arg2,Person 
per:other_family,9,uncle [of,,arg1,arg2,Person 
per:other_family,9,uncle of,,arg2,arg1,Person 
per:other_family,9,uncle [of,,arg2,arg1,Person 
per:other_family,9,aunt of,,arg1,arg2,Person 
per:other_family,9,aunt [of],,arg1,arg2,Person 
per:other_family,9,aunt of,,arg2,arg1,Person 
per:other_family,9,aunt [of],,arg2,arg1,Person 
,,,,,,
per:children,9,son of,,arg2,arg1,Person
per:children,9,son [of],,arg2,arg1,Person
per:children,9,daughter of,,arg2,arg1,Person
per:children,9,daughter [of],,arg2,arg1,Person
per:children,9,father of,,arg1,arg2,Person
per:children,9,father [of],,arg1,arg2,Person
per:children,9,mother of,,arg1,arg2,Person
per:children,9,mother [of],,arg1,arg2,Person
per:children,9,parents,,arg1,arg2,Person
,,,,,,
per:date_of_birth,1,born,in,arg1,arg2,Date
per:date_of_birth,1,born,on,arg1,arg2,Date
,,,,,,
per:schools_attended,9,attended,,arg1,arg2,School
per:schools_attended,9,graduated,from,arg1,arg2,School
per:schools_attended,9,graduate,from,arg1,arg2,School
per:schools_attended,9,graduate,of,arg1,arg2,School
per:schools_attended,9,enrolled,in,arg1,arg2,School
per:schools_attended,9,enrolled,at,arg1,arg2,School
per:schools_attended,9,student,at,arg1,arg2,School
,,,,,,
per:employee_or_member_of,9,employed,at,arg1,arg2,Organization
per:employee_or_member_of,9,employed,by,arg1,arg2,Organization
per:employee_or_member_of,9,hired,by,arg1,arg2,Organization
